SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
40,37,0,0,0,0,0,A,North Carolina,North Carolina,9535483,9535751,9574323,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084
162,37,0,160,0,0,0,A,Aberdeen town,North Carolina,6350,6369,6389,6462,6643,6851,7070,7266,7433,7600,7710,7988
162,37,0,500,0,0,0,A,Ahoskie town,North Carolina,5039,5062,5047,4996,4965,4938,4899,4833,4922,4869,4815,4763
162,37,0,640,0,0,0,A,Alamance village,North Carolina,951,956,957,965,968,972,980,989,997,1012,1028,1042
162,37,0,680,0,0,0,A,Albemarle city,North Carolina,15903,15890,15883,15868,15807,15839,15806,15810,15795,15950,16100,16246
162,37,0,1000,0,0,0,A,Alliance town,North Carolina,776,782,781,785,765,761,757,764,760,758,752,758
162,37,0,1380,0,0,0,A,Andrews town,North Carolina,1781,1777,1776,1759,1747,1761,1747,1762,1793,1797,1830,1846
162,37,0,1400,0,0,0,A,Angier town,North Carolina,4350,4428,4460,4554,4635,4739,4857,4962,5142,5209,5314,5415
162,37,0,1420,0,0,0,A,Ansonville town,North Carolina,631,626,624,617,612,607,602,595,591,589,589,589
162,37,0,1520,0,0,0,A,Apex town,North Carolina,37476,37727,37991,38999,40659,42388,44064,45652,47543,50524,53859,59300
162,37,0,1640,0,0,0,A,Arapahoe town,North Carolina,556,557,555,561,552,546,547,539,536,531,530,535
162,37,0,1720,0,0,0,A,Archdale city,North Carolina,11415,11435,11444,11424,11451,11432,11449,11473,11494,11477,11496,11513
162,37,0,1760,0,0,0,A,Archer Lodge town,North Carolina,4292,4262,4282,4357,4406,4473,4557,4663,4766,4887,5024,5159
162,37,0,2080,0,0,0,A,Asheboro city,North Carolina,25012,25408,25462,25531,25672,25864,25849,25809,25870,25819,25817,25940
162,37,0,2140,0,0,0,A,Asheville city,North Carolina,83393,83420,83459,84457,85321,86355,87837,89374,91123,91748,92630,92870
162,37,0,2320,0,0,0,A,Askewville town,North Carolina,241,250,250,246,242,239,235,233,228,225,222,220
162,37,0,2460,0,0,0,A,Atkinson town,North Carolina,299,299,300,303,307,312,316,325,332,342,349,356
162,37,0,2500,0,0,0,A,Atlantic Beach town,North Carolina,1495,1497,1502,1512,1499,1505,1504,1500,1493,1496,1505,1512
162,37,0,2580,0,0,0,A,Aulander town,North Carolina,895,896,896,882,867,856,842,834,814,802,792,783
162,37,0,2620,0,0,0,A,Aurora town,North Carolina,520,520,520,520,517,516,516,517,514,512,512,510
162,37,0,2700,0,0,0,A,Autryville town,North Carolina,196,200,200,200,200,201,200,199,198,198,197,199
162,37,0,2840,0,0,0,A,Ayden town,North Carolina,4932,5000,5018,5058,5102,5108,5116,5105,5131,5126,5130,5141
162,37,0,2960,0,0,0,A,Badin town,North Carolina,1974,1974,1974,1974,1957,1956,1956,1951,1948,1957,1962,1973
162,37,0,3020,0,0,0,A,Bailey town,North Carolina,569,569,568,568,566,563,562,560,560,560,560,562
162,37,0,3100,0,0,0,A,Bakersville town,North Carolina,464,467,465,460,458,456,453,450,446,447,447,445
162,37,0,3150,0,0,0,A,Bald Head Island village,North Carolina,158,158,158,159,161,163,165,168,172,176,180,182
162,37,0,3500,0,0,0,A,Banner Elk town,North Carolina,1028,1057,1055,1121,1085,1128,1160,1164,1125,1122,1149,1149
162,37,0,3840,0,0,0,A,Bath town,North Carolina,249,249,249,248,247,246,246,247,244,242,242,241
162,37,0,3960,0,0,0,A,Bayboro town,North Carolina,1263,1260,1259,1265,1252,1243,1247,1241,1239,1235,1234,1240
162,37,0,4180,0,0,0,A,Bear Grass town,North Carolina,73,73,73,72,71,71,70,70,68,67,66,66
162,37,0,4260,0,0,0,A,Beaufort town,North Carolina,4039,4184,4201,4243,4234,4282,4291,4301,4291,4297,4398,4452
162,37,0,4510,0,0,0,A,Beech Mountain town,North Carolina,320,319,318,318,316,317,316,317,319,324,326,324
162,37,0,4640,0,0,0,A,Belhaven town,North Carolina,1688,1692,1691,1671,1643,1617,1611,1602,1589,1578,1581,1579
162,37,0,4840,0,0,0,A,Belmont city,North Carolina,10076,10227,10233,10256,10424,10643,11028,11443,11710,12113,12462,12558
162,37,0,4950,0,0,0,A,Belville town,North Carolina,1936,1930,1937,1964,1987,2006,2018,2036,2049,2065,2079,2103
162,37,0,4960,0,0,0,A,Belwood town,North Carolina,950,949,947,944,942,938,940,937,940,943,947,954
162,37,0,5040,0,0,0,A,Benson town,North Carolina,3311,3314,3323,3371,3400,3455,3494,3550,3656,3724,3844,3922
162,37,0,5135,0,0,0,A,Bermuda Run town,North Carolina,1725,2592,2595,2599,2594,2603,2590,2614,2642,2677,2695,2709
162,37,0,5220,0,0,0,A,Bessemer City city,North Carolina,5340,5328,5328,5340,5336,5358,5366,5399,5418,5456,5523,5577
162,37,0,5340,0,0,0,A,Bethania town,North Carolina,328,328,328,331,335,340,341,347,351,356,359,364
162,37,0,5460,0,0,0,A,Bethel town,North Carolina,1577,1577,1581,1594,1608,1610,1611,1605,1608,1610,1608,1611
162,37,0,5660,0,0,0,A,Beulaville town,North Carolina,1296,1293,1298,1311,1315,1315,1320,1307,1312,1303,1302,1293
162,37,0,5880,0,0,0,A,Biltmore Forest town,North Carolina,1343,1343,1345,1357,1369,1388,1392,1401,1409,1420,1403,1416
162,37,0,6000,0,0,0,A,Biscoe town,North Carolina,1700,1742,1739,1740,1729,1728,1716,1726,1715,1713,1707,1716
162,37,0,6080,0,0,0,A,Black Creek town,North Carolina,769,767,767,765,768,767,765,766,764,770,765,770
162,37,0,6140,0,0,0,A,Black Mountain town,North Carolina,7848,7846,7850,7856,7930,8017,8085,8117,8147,8145,8141,8162
162,37,0,6240,0,0,0,A,Bladenboro town,North Carolina,1750,1748,1748,1733,1726,1719,1710,1695,1666,1652,1638,1613
162,37,0,6500,0,0,0,A,Blowing Rock town,North Carolina,1241,1247,1243,1266,1252,1196,1224,1231,1247,1278,1327,1324
162,37,0,6660,0,0,0,A,Boardman town,North Carolina,157,157,157,156,155,154,153,152,155,154,153,152
162,37,0,6740,0,0,0,A,Bogue town,North Carolina,684,686,688,695,694,701,703,703,703,702,704,703
162,37,0,6760,0,0,0,A,Boiling Spring Lakes city,North Carolina,5372,5370,5386,5436,5488,5575,5652,5755,5887,6024,6142,6287
162,37,0,6800,0,0,0,A,Boiling Springs town,North Carolina,4647,4648,4644,4615,4591,4561,4658,4676,4593,4552,4518,4535
162,37,0,6820,0,0,0,A,Bolivia town,North Carolina,143,143,143,146,146,148,149,150,151,152,152,154
162,37,0,6860,0,0,0,A,Bolton town,North Carolina,691,687,685,682,678,671,667,664,653,648,646,641
162,37,0,7080,0,0,0,A,Boone town,North Carolina,17122,17118,17111,17622,18023,18145,17925,18277,18898,19254,19518,19667
162,37,0,7140,0,0,0,A,Boonville town,North Carolina,1222,1176,1176,1173,1167,1162,1155,1148,1147,1143,1139,1143
162,37,0,7220,0,0,0,A,Bostic town,North Carolina,386,385,384,382,381,380,377,376,375,376,378,379
162,37,0,7720,0,0,0,A,Brevard city,North Carolina,7609,7680,7677,7610,7611,7628,7661,7749,7749,7804,7887,7926
162,37,0,7860,0,0,0,A,Bridgeton town,North Carolina,454,470,471,471,473,464,460,451,446,446,442,441
162,37,0,8080,0,0,0,A,Broadway town,North Carolina,1229,1206,1206,1220,1236,1248,1240,1239,1241,1258,1275,1286
162,37,0,8140,0,0,0,A,Brookford town,North Carolina,382,380,380,377,376,377,375,375,373,377,377,380
162,37,0,8420,0,0,0,A,Brunswick town,North Carolina,1119,1005,1007,1002,997,976,991,988,981,974,935,933
162,37,0,8480,0,0,0,A,Bryson City town,North Carolina,1424,1422,1425,1428,1429,1414,1446,1459,1443,1451,1449,1452
162,37,0,8860,0,0,0,A,Bunn town,North Carolina,344,343,344,345,346,349,352,358,359,367,374,385
162,37,0,8960,0,0,0,A,Burgaw town,North Carolina,3872,3854,3863,3898,3913,3961,3988,4031,4036,4078,4108,4149
162,37,0,9060,0,0,0,A,Burlington city,North Carolina,49963,51079,51172,51169,51198,51314,51475,51867,52180,53121,53911,54606
162,37,0,9140,0,0,0,A,Burnsville town,North Carolina,1693,1695,1693,1676,1669,1662,1648,1644,1631,1631,1637,1647
162,37,0,9360,0,0,0,A,Butner town,North Carolina,7591,7589,7611,7597,7619,7634,7653,7669,7617,7709,7796,7859
162,37,0,9530,0,0,0,A,Cajah's Mountain town,North Carolina,2823,2776,2774,2755,2744,2740,2726,2722,2728,2732,2734,2737
162,37,0,9540,0,0,0,A,Calabash town,North Carolina,1786,1786,1790,2010,2029,2057,2076,2105,2130,2163,2216,2270
162,37,0,9760,0,0,0,A,Calypso town,North Carolina,538,530,532,536,538,538,538,533,535,532,529,526
162,37,0,9800,0,0,0,A,Cameron town,North Carolina,285,284,285,287,290,291,296,299,327,333,335,341
162,37,0,10120,0,0,0,A,Candor town,North Carolina,840,841,839,838,832,831,826,827,822,817,816,817
162,37,0,10240,0,0,0,A,Canton town,North Carolina,4227,4209,4197,4160,4092,4130,4155,4183,4227,4265,4324,4347
162,37,0,10260,0,0,0,A,Cape Carteret town,North Carolina,1917,1986,1994,2016,1998,2031,2044,2048,2056,2057,2063,2061
162,37,0,10500,0,0,0,A,Carolina Beach town,North Carolina,5706,5706,5724,5795,5880,5968,6022,6107,6189,6259,6354,6399
162,37,0,10550,0,0,0,A,Carolina Shores town,North Carolina,3048,3356,3385,3411,3430,3522,3576,3722,3912,4150,4391,4659
162,37,0,10620,0,0,0,A,Carrboro town,North Carolina,19582,19568,19585,19874,20300,20681,20878,21074,21198,21452,21220,21190
162,37,0,10680,0,0,0,A,Carthage town,North Carolina,2205,2293,2303,2316,2334,2356,2379,2399,2440,2479,2512,2553
162,37,0,10740,0,0,0,A,Cary town,North Carolina,135234,135840,137086,142209,146154,151328,155439,159712,162477,165927,168042,170282
162,37,0,10760,0,0,0,A,Casar town,North Carolina,297,298,297,296,295,294,294,291,292,292,293,293
162,37,0,10860,0,0,0,A,Castalia town,North Carolina,268,265,265,266,266,264,265,263,264,265,269,270
162,37,0,10960,0,0,0,A,Caswell Beach town,North Carolina,398,392,393,395,398,403,406,411,417,422,426,431
162,37,0,10980,0,0,0,A,Catawba town,North Carolina,603,614,614,612,611,613,612,612,615,618,622,624
162,37,0,11340,0,0,0,A,Cedar Point town,North Carolina,1279,1252,1257,1272,1267,1279,1284,1285,1297,1300,1303,1304
162,37,0,11352,0,0,0,A,Cedar Rock village,North Carolina,300,303,303,300,298,298,299,298,298,298,298,300
162,37,0,11620,0,0,0,A,Cerro Gordo town,North Carolina,207,212,211,211,210,206,205,203,201,199,198,195
162,37,0,11640,0,0,0,A,Chadbourn town,North Carolina,1856,1838,1834,1822,1813,1793,1781,1770,1754,1737,1723,1711
