,STATE,state_id,county_id,county_name,PLACEFP,PLACENAME
0,CA,6,1,Alameda County,562,Alameda city
1,CA,6,1,Alameda County,674,Albany city
2,CA,6,1,Alameda County,2980,Ashland CDP
3,CA,6,1,Alameda County,6000,Berkeley city
4,CA,6,1,Alameda County,11964,Castro Valley CDP
5,CA,6,1,Alameda County,12902,Cherryland CDP
6,CA,6,1,Alameda County,20018,Dublin city
7,CA,6,1,Alameda County,22594,Emeryville city
8,CA,6,1,Alameda County,23350,Fairview CDP
9,CA,6,1,Alameda County,26000,Fremont city
10,CA,6,1,Alameda County,33000,Hayward city
11,CA,6,1,Alameda County,41992,Livermore city
12,CA,6,1,Alameda County,50916,Newark city
13,CA,6,1,Alameda County,53000,Oakland city
14,CA,6,1,Alameda County,56938,Piedmont city
15,CA,6,1,Alameda County,57792,Pleasanton city
16,CA,6,1,Alameda County,68084,San Leandro city
17,CA,6,1,Alameda County,68112,San Lorenzo CDP
18,CA,6,1,Alameda County,77042,Sunol CDP
19,CA,6,1,Alameda County,81204,Union City city
20,CA,6,3,Alpine County,1228,Alpine Village CDP
21,CA,6,3,Alpine County,4716,Bear Valley CDP
22,CA,6,3,Alpine County,38646,Kirkwood CDP
23,CA,6,3,Alpine County,45988,Markleeville CDP
24,CA,6,3,Alpine County,47086,Mesa Vista CDP
25,CA,6,5,Amador County,1514,Amador City city
26,CA,6,5,Amador County,1518,Amador Pines CDP
27,CA,6,5,Amador County,8680,Buckhorn CDP
28,CA,6,5,Amador County,8828,Buena Vista CDP
29,CA,6,5,Amador County,10042,Camanche North Shore CDP
30,CA,6,5,Amador County,10044,Camanche Village CDP
31,CA,6,5,Amador County,19976,Drytown CDP
32,CA,6,5,Amador County,23980,Fiddletown CDP
33,CA,6,5,Amador County,36672,Ione city
34,CA,6,5,Amador County,36980,Jackson city
35,CA,6,5,Amador County,38646,Kirkwood CDP
36,CA,6,5,Amador County,42142,Lockwood CDP
37,CA,6,5,Amador County,46100,Martell CDP
38,CA,6,5,Amador County,57148,Pine Grove CDP
39,CA,6,5,Amador County,57330,Pioneer CDP
40,CA,6,5,Amador County,57834,Plymouth city
41,CA,6,5,Amador County,59896,Red Corral CDP
42,CA,6,5,Amador County,61124,River Pines CDP
43,CA,6,5,Amador County,77392,Sutter Creek city
44,CA,6,5,Amador County,83094,Volcano CDP
45,CA,6,7,Butte County,3792,Bangor CDP
46,CA,6,7,Butte County,6070,Berry Creek CDP
47,CA,6,7,Butte County,6560,Biggs city
48,CA,6,7,Butte County,9310,Butte Creek Canyon CDP
49,CA,6,7,Butte County,9318,Butte Meadows CDP
50,CA,6,7,Butte County,9324,Butte Valley CDP
51,CA,6,7,Butte County,12818,Cherokee CDP
52,CA,6,7,Butte County,13014,Chico city
53,CA,6,7,Butte County,14148,Clipper Mills CDP
54,CA,6,7,Butte County,14442,Cohasset CDP
55,CA,6,7,Butte County,16035,Concow CDP
56,CA,6,7,Butte County,20270,Durham CDP
57,CA,6,7,Butte County,24750,Forbestown CDP
58,CA,6,7,Butte County,24918,Forest Ranch CDP
59,CA,6,7,Butte County,31260,Gridley city
60,CA,6,7,Butte County,34428,Honcut CDP
61,CA,6,7,Butte County,38024,Kelly Ridge CDP
62,CA,6,7,Butte County,45120,Magalia CDP
63,CA,6,7,Butte County,51574,Nord CDP
64,CA,6,7,Butte County,54386,Oroville city
65,CA,6,7,Butte County,54388,Oroville East CDP
66,CA,6,7,Butte County,55086,Palermo CDP
67,CA,6,7,Butte County,55520,Paradise town
68,CA,6,7,Butte County,59115,Rackerby CDP
69,CA,6,7,Butte County,60662,Richvale CDP
70,CA,6,7,Butte County,62200,Robinson Mill CDP
71,CA,6,7,Butte County,73178,South Oroville CDP
72,CA,6,7,Butte County,74186,Stirling City CDP
73,CA,6,7,Butte County,78470,Thermalito CDP
74,CA,6,7,Butte County,86678,Yankee Hill CDP
75,CA,6,9,Calaveras County,2112,Angels city
76,CA,6,9,Calaveras County,2770,Arnold CDP
77,CA,6,9,Calaveras County,3316,Avery CDP
78,CA,6,9,Calaveras County,16210,Copperopolis CDP
79,CA,6,9,Calaveras County,19570,Dorrington CDP
80,CA,6,9,Calaveras County,24897,Forest Meadows CDP
81,CA,6,9,Calaveras County,48480,Mokelumne Hill CDP
82,CA,6,9,Calaveras County,49628,Mountain Ranch CDP
83,CA,6,9,Calaveras County,50034,Murphys CDP
84,CA,6,9,Calaveras County,59220,Rail Road Flat CDP
85,CA,6,9,Calaveras County,59426,Rancho Calaveras CDP
86,CA,6,9,Calaveras County,64420,San Andreas CDP
87,CA,6,9,Calaveras County,81652,Vallecito CDP
88,CA,6,9,Calaveras County,81890,Valley Springs CDP
89,CA,6,9,Calaveras County,83304,Wallace CDP
90,CA,6,9,Calaveras County,84732,West Point CDP
91,CA,6,11,Colusa County,2420,Arbuckle CDP
92,CA,6,11,Colusa County,14554,College City CDP
93,CA,6,11,Colusa County,14946,Colusa city
94,CA,6,11,Colusa County,31288,Grimes CDP
95,CA,6,11,Colusa County,42230,Lodoga CDP
96,CA,6,11,Colusa County,46338,Maxwell CDP
97,CA,6,11,Colusa County,58758,Princeton CDP
98,CA,6,11,Colusa County,75154,Stonyford CDP
99,CA,6,11,Colusa County,85586,Williams city
100,CA,6,13,Contra Costa County,135,Acalanes Ridge CDP
101,CA,6,13,Contra Costa County,618,Alamo CDP
102,CA,6,13,Contra Costa County,898,Alhambra Valley CDP
103,CA,6,13,Contra Costa County,2252,Antioch city
104,CA,6,13,Contra Costa County,4415,Bay Point CDP
105,CA,6,13,Contra Costa County,4470,Bayview CDP
106,CA,6,13,Contra Costa County,6210,Bethel Island CDP
107,CA,6,13,Contra Costa County,6928,Blackhawk CDP
108,CA,6,13,Contra Costa County,8142,Brentwood city
109,CA,6,13,Contra Costa County,9346,Byron CDP
110,CA,6,13,Contra Costa County,10301,Camino Tassajara CDP
111,CA,6,13,Contra Costa County,11915,Castle Hill CDP
112,CA,6,13,Contra Costa County,13882,Clayton city
113,CA,6,13,Contra Costa County,14232,Clyde CDP
114,CA,6,13,Contra Costa County,16000,Concord city
115,CA,6,13,Contra Costa County,16090,Contra Costa Centre CDP
116,CA,6,13,Contra Costa County,17274,Crockett CDP
117,CA,6,13,Contra Costa County,17988,Danville town
118,CA,6,13,Contra Costa County,19150,Diablo CDP
119,CA,6,13,Contra Costa County,19339,Discovery Bay CDP
120,CA,6,13,Contra Costa County,21061,East Richmond Heights CDP
121,CA,6,13,Contra Costa County,21796,El Cerrito city
122,CA,6,13,Contra Costa County,22454,El Sobrante CDP
123,CA,6,13,Contra Costa County,33308,Hercules city
124,CA,6,13,Contra Costa County,38086,Kensington CDP
125,CA,6,13,Contra Costa County,38772,Knightsen CDP
126,CA,6,13,Contra Costa County,39122,Lafayette city
127,CA,6,13,Contra Costa County,46114,Martinez city
128,CA,6,13,Contra Costa County,48718,Montalvin Manor CDP
129,CA,6,13,Contra Costa County,49187,Moraga town
130,CA,6,13,Contra Costa County,49651,Mountain View CDP
131,CA,6,13,Contra Costa County,51622,Norris Canyon CDP
132,CA,6,13,Contra Costa County,51890,North Gate CDP
133,CA,6,13,Contra Costa County,52162,North Richmond CDP
134,CA,6,13,Contra Costa County,53070,Oakley city
135,CA,6,13,Contra Costa County,54232,Orinda city
136,CA,6,13,Contra Costa County,54764,Pacheco CDP
137,CA,6,13,Contra Costa County,57288,Pinole city
138,CA,6,13,Contra Costa County,57456,Pittsburg city
139,CA,6,13,Contra Costa County,57764,Pleasant Hill city
140,CA,6,13,Contra Costa County,58226,Port Costa CDP
141,CA,6,13,Contra Costa County,60279,Reliez Valley CDP
142,CA,6,13,Contra Costa County,60620,Richmond city
143,CA,6,13,Contra Costa County,62490,Rodeo CDP
144,CA,6,13,Contra Costa County,62700,Rollingwood CDP
145,CA,6,13,Contra Costa County,68263,San Miguel CDP
146,CA,6,13,Contra Costa County,68294,San Pablo city
147,CA,6,13,Contra Costa County,68378,San Ramon city
148,CA,6,13,Contra Costa County,70266,Saranap CDP
149,CA,6,13,Contra Costa County,71362,Shell Ridge CDP
150,CA,6,13,Contra Costa County,77924,Tara Hills CDP
151,CA,6,13,Contra Costa County,82842,Vine Hill CDP
152,CA,6,13,Contra Costa County,83346,Walnut Creek city
153,CA,6,15,Del Norte County,6150,Bertsch-Oceanview CDP
154,CA,6,15,Del Norte County,17022,Crescent City city
155,CA,6,15,Del Norte County,25086,Fort Dick CDP
156,CA,6,15,Del Norte County,29154,Gasquet CDP
157,CA,6,15,Del Norte County,33935,Hiouchi CDP
158,CA,6,15,Del Norte County,38702,Klamath CDP
